a	Sanskrit
a i l a	Prakrit
a u k ṣ a	Sanskrit-derived
a ṅ k a	Sanskrit
a ṅ k a	Sanskrit-derived
a k a ṇ a v a	Sanskrit
a ṅ k a ṇ ā	Sanskrit-derived
a k a r a v ā t ō t t a r a	Sanskrit-derived
a k a l p i t a	Sanskrit
a k a s m ā d i k a	Sanskrit-derived
a k a ḷ a	Sanskrit-derived
a k a ḷ i k a	Sanskrit-derived
a k a ḷ ī	Sanskrit-derived
a k ā r a	Sanskrit
a k ā ḷ a v ī j a	Sanskrit-derived
a ṅ k i t a	Sanskrit-derived
a ṅ k i l a	Sanskrit-derived
a ṅ k u c a ṇ ē	Sanskrit-derived
a ṅ k u r a ṇ ē m	Sanskrit-derived
a ṅ k u s a m u d r ā	Sanskrit-derived
a k u ḷ a n ā t h a	Sanskrit-derived
a k u ḷ ī	Sanskrit-derived
a k ṛ t y a	Sanskrit
a k ṛ t r i m a	Sanskrit
a k ō c a n a	Sanskrit-derived
a ṅ k t ī p a ṅ k t ī	Sanskrit-derived
a k h a ṇ ḍ a	Sanskrit
a k h a ṇ ḍ a d h ā r ī	Sanskrit-derived
a k h a m a	Sanskrit-derived
a k h a r a	Sanskrit-derived
a k h a r a	Sanskrit-derived
a k h a v a	Sanskrit-derived
a k h a s ē j ā r a	Sanskrit-derived
a k h a ḷ ī	
a k h u ṭ ī m	
a k h u m a r ā ṇ ā	
a k h ō b h a	Sanskrit-derived
a k h ō r ī	Sanskrit-derived
a k h y ō ṇ i	Sanskrit-derived
a ṅ g a	Sanskrit-derived
a g a ḍ a	Sanskrit-derived
a g a ḍ ā	Sanskrit-derived
a ṅ g a t u k a	Sanskrit-derived,Kannada
a g a t y ā	Sanskrit-derived
a g a t y ā a g a t y a	Sanskrit-derived
a ṅ g a d a	Sanskrit
a ṅ g a b h ū t a	Sanskrit
a ṅ g a b h ō g a	Sanskrit-derived
a g a r a	Sanskrit-derived
a ṅ g a r ā g a	Sanskrit
a ṅ g a l a g a	Sanskrit-derived
a ṅ g a v a ṇ a	Sanskrit-derived
a ṅ g a v a ṇ ī	Sanskrit-derived
a ṅ g a v a ṇ ē m	Sanskrit-derived
a ṅ g a v a s t r a	Sanskrit
a ṅ g a s a ṅ g a	Sanskrit
a ṅ g a s a ṅ g a t i	Sanskrit
a ṅ g a s ī k a	Sanskrit-derived
a g a s t i g a u v a ṇ a	Sanskrit-derived
a g a ḷ ī	Sanskrit-derived
a g ā	Sanskrit-derived
a g ā d h a	Sanskrit-derived
a g ā r a	Sanskrit
a g ā r a	Sanskrit-derived
a ṅ g ā r a	Sanskrit-derived
a ṅ g ā r ā	Sanskrit-derived
a ṅ g ā r i k a	
a ṅ g ā ṟ h a ṇ a	Sanskrit-derived
a ṅ g i k a r a ṇ a	Sanskrit-derived
a ṅ g i k a r a ṇ ē	Sanskrit-derived
a ṅ g i k ā r a	Sanskrit-derived
a ṅ g i k ā r a ṇ ē	
a ṅ g ī	Sanskrit-derived
a g ī n ī ṣ ṭ ī k ā	Sanskrit-derived
a ṅ g ī p ā ḷ a	Sanskrit-derived
a g u n t h i t a	Sanskrit-derived
a ṅ g u l ē m	Sanskrit-derived
a ṅ g u ṣ ṭ a	Sanskrit-derived
a ṅ g u ḷ a	Sanskrit-derived
a ṅ g ē m	Sanskrit-derived
a ṅ g ō t t a v a r t t a n a	Sanskrit-derived
a ṅ g ō ḷ ī	Sanskrit-derived
a g n a	Sanskrit-derived
a g n a	Sanskrit-derived
a g n i	Sanskrit-derived
a g n i k ā	Sanskrit-derived
a g n i m ē ḷ a	Sanskrit-derived
a g n i ṣ ṭ a k ā	Sanskrit-derived
a g n i s t h a m b h a	Sanskrit-derived
a g n i s t h ā n a	Sanskrit
a g n i h ō t r ī	Sanskrit-derived
a ṅ g r a	Sanskrit-derived
a g r a ṇ ī y ā	Sanskrit-derived
a g r a v a ṇ a	Sanskrit-derived
a g r a v ā ṭ a	Sanskrit-derived
a g r a h ā r a	Sanskrit-derived
a g r ā r a	
a g r ā h a r a m	
a g r ō d a k a	Sanskrit-derived
a g h a	Sanskrit
a g h a ṭ a m ā n a	Sanskrit
a g h a ṭ i t a	Sanskrit
a g h a ḍ a t a	Sanskrit-derived
a g h a m a r k h a ṇ a	Sanskrit-derived
a g h a v a	Sanskrit-derived
a g h ā t a	Sanskrit-derived
a g h ō r a	Sanskrit
a g h ō r a v a g a t r a	Sanskrit-derived
a g h r ā r a	
a ṅ g h r i y u g u ḷ a	Sanskrit-derived
a ñ c a ḷ a	Sanskrit-derived
a c a ḷ a n ā b h ī	Sanskrit-derived
a ñ c a ḷ ā	Sanskrit-derived
a c ā ṭ a	
a c i r ā m ā r g a	Sanskrit-derived
a c u k a	Sanskrit-derived,Prakrit
a c u m b i t a	Sanskrit-derived
a c u ḷ ā	Sanskrit-derived
a c ō j a	Sanskrit-derived
a c y u t a	Sanskrit
a c y u t a g ō t r a	Sanskrit-derived
a c y u t a p a d a	Sanskrit
a c h ā n d a s a	Sanskrit-derived
a j a	Sanskrit
a j a ḍ a	Sanskrit
a ñ j a ṇ ē	Sanskrit-derived
a ñ j a n a	Sanskrit
a ñ j a n a v a r ṇ a	Sanskrit
a j a p a	Sanskrit-derived
a j a h a l l a k ṣ a ṇ ā	Sanskrit-derived
a j ā	Sanskrit
a j ā t a p a k ṣ a	Sanskrit
a j ā n a	
a j ā n a v ṛ k ṣ a	Sanskrit-derived
a ñ j ā r a ṇ ē	
a ñ j u ḷ a	
a ñ j u ḷ ī	Sanskrit-derived
a j ē v a ṇ ī	Sanskrit-derived
a j h u i m	Sanskrit-derived
a ṭ a k a	
a ṭ a k a	
a ṭ a ṇ ē	
a ṭ a n a	Sanskrit-derived
a ṭ a v ī	Sanskrit
a ṭ ā	
a ṭ ā ṭ ā	
a ṭ ī	
a ṭ ē ṭ a	
a ṭ ē ṭ ā	
a ṭ ō p a ṇ ē	Sanskrit-derived
a ṭ h a r ā	Sanskrit-derived
a ṭ h a v a r a	
a ṭ h a v a r a p a ṇ a	
a ṭ h a s a ṭ i	Sanskrit-derived
a ṭ h i	Sanskrit-derived
a ṭ h u l ā	
a ṭ h ē t ā ḷ ī s a	
a ḍ a	Sanskrit-derived
a ḍ a u	Kannada
a ḍ a c a ṇ ē	Kannada
a ḍ a ṇ ī	Kannada
a ḍ a ṇ ē	Kannada
a ḍ a t h a	
a ḍ a d a r a	Kannada
a ḍ a d a r a ṇ ē	Kannada
a ḍ a n ī	Kannada
a ḍ a l a	
a ḍ a l ā	Kannada
a ḍ a l ā u	
a ḍ a v a	Kannada
