a	Sanskrit
aila	Prakrit
aukṣa	Sanskrit-derived
aṅka	Sanskrit
aṅka	Sanskrit-derived
akaṇava	Sanskrit
aṅkaṇā	Sanskrit-derived
akaravātōttara	Sanskrit-derived
akalpita	Sanskrit
akasmādika	Sanskrit-derived
akaḷa	Sanskrit-derived
akaḷika	Sanskrit-derived
akaḷī	Sanskrit-derived
akāra	Sanskrit
akāḷavīja	Sanskrit-derived
aṅkita	Sanskrit-derived
aṅkila	Sanskrit-derived
aṅkucaṇē	Sanskrit-derived
aṅkuraṇēm	Sanskrit-derived
aṅkusamudrā	Sanskrit-derived
akuḷanātha	Sanskrit-derived
akuḷī	Sanskrit-derived
akṛtya	Sanskrit
akṛtrima	Sanskrit
akōcana	Sanskrit-derived
aṅktīpaṅktī	Sanskrit-derived
akhaṇḍa	Sanskrit
akhaṇḍadhārī	Sanskrit-derived
akhama	Sanskrit-derived
akhara	Sanskrit-derived
akhara	Sanskrit-derived
akhava	Sanskrit-derived
akhasējāra	Sanskrit-derived
akhaḷī	
akhuṭīm	
akhumarāṇā	
akhōbha	Sanskrit-derived
akhōrī	Sanskrit-derived
akhyōṇi	Sanskrit-derived
aṅga	Sanskrit-derived
agaḍa	Sanskrit-derived
agaḍā	Sanskrit-derived
aṅgatuka	Sanskrit-derived,Kannada
agatyā	Sanskrit-derived
agatyāagatya	Sanskrit-derived
aṅgada	Sanskrit
aṅgabhūta	Sanskrit
aṅgabhōga	Sanskrit-derived
agara	Sanskrit-derived
aṅgarāga	Sanskrit
aṅgalaga	Sanskrit-derived
aṅgavaṇa	Sanskrit-derived
aṅgavaṇī	Sanskrit-derived
aṅgavaṇēm	Sanskrit-derived
aṅgavastra	Sanskrit
aṅgasaṅga	Sanskrit
aṅgasaṅgati	Sanskrit
aṅgasīka	Sanskrit-derived
agastigauvaṇa	Sanskrit-derived
agaḷī	Sanskrit-derived
agā	Sanskrit-derived
agādha	Sanskrit-derived
agāra	Sanskrit
agāra	Sanskrit-derived
aṅgāra	Sanskrit-derived
aṅgārā	Sanskrit-derived
aṅgārika	
aṅgāṟhaṇa	Sanskrit-derived
aṅgikaraṇa	Sanskrit-derived
aṅgikaraṇē	Sanskrit-derived
aṅgikāra	Sanskrit-derived
aṅgikāraṇē	
aṅgī	Sanskrit-derived
agīnīṣṭīkā	Sanskrit-derived
aṅgīpāḷa	Sanskrit-derived
agunthita	Sanskrit-derived
aṅgulēm	Sanskrit-derived
aṅguṣṭa	Sanskrit-derived
aṅguḷa	Sanskrit-derived
aṅgēm	Sanskrit-derived
aṅgōttavarttana	Sanskrit-derived
aṅgōḷī	Sanskrit-derived
agna	Sanskrit-derived
agna	Sanskrit-derived
agni	Sanskrit-derived
agnikā	Sanskrit-derived
agnimēḷa	Sanskrit-derived
agniṣṭakā	Sanskrit-derived
agnisthambha	Sanskrit-derived
agnisthāna	Sanskrit
agnihōtrī	Sanskrit-derived
aṅgra	Sanskrit-derived
agraṇīyā	Sanskrit-derived
agravaṇa	Sanskrit-derived
agravāṭa	Sanskrit-derived
agrahāra	Sanskrit-derived
agrāra	
agrāharam	
agrōdaka	Sanskrit-derived
agha	Sanskrit
aghaṭamāna	Sanskrit
aghaṭita	Sanskrit
aghaḍata	Sanskrit-derived
aghamarkhaṇa	Sanskrit-derived
aghava	Sanskrit-derived
aghāta	Sanskrit-derived
aghōra	Sanskrit
aghōravagatra	Sanskrit-derived
aghrāra	
aṅghriyuguḷa	Sanskrit-derived
añcaḷa	Sanskrit-derived
acaḷanābhī	Sanskrit-derived
añcaḷā	Sanskrit-derived
acāṭa	
acirāmārga	Sanskrit-derived
acuka	Sanskrit-derived,Prakrit
acumbita	Sanskrit-derived
acuḷā	Sanskrit-derived
acōja	Sanskrit-derived
acyuta	Sanskrit
acyutagōtra	Sanskrit-derived
acyutapada	Sanskrit
achāndasa	Sanskrit-derived
aja	Sanskrit
ajaḍa	Sanskrit
añjaṇē	Sanskrit-derived
añjana	Sanskrit
añjanavarṇa	Sanskrit
ajapa	Sanskrit-derived
ajahallakṣaṇā	Sanskrit-derived
ajā	Sanskrit
ajātapakṣa	Sanskrit
ajāna	
ajānavṛkṣa	Sanskrit-derived
añjāraṇē	
añjuḷa	
añjuḷī	Sanskrit-derived
ajēvaṇī	Sanskrit-derived
ajhuim	Sanskrit-derived
aṭaka	
aṭaka	
aṭaṇē	
aṭana	Sanskrit-derived
aṭavī	Sanskrit
aṭā	
aṭāṭā	
aṭī	
aṭēṭa	
aṭēṭā	
aṭōpaṇē	Sanskrit-derived
aṭharā	Sanskrit-derived
aṭhavara	
aṭhavarapaṇa	
aṭhasaṭi	Sanskrit-derived
aṭhi	Sanskrit-derived
aṭhulā	
aṭhētāḷīsa	
aḍa	Sanskrit-derived
aḍau	Kannada
aḍacaṇē	Kannada
aḍaṇī	Kannada
aḍaṇē	Kannada
aḍatha	
aḍadara	Kannada
aḍadaraṇē	Kannada
aḍanī	Kannada
aḍala	
aḍalā	Kannada
aḍalāu	
aḍava	Kannada
aḍava	Kannada
aḍava	Sanskrit-derived
aḍavatāva	Kannada
aḍavī	Sanskrit-derived
aḍavōlā	Kannada
aḍasaṇē	
aḍāaḍī	Kannada
aḍināṃva	Sanskrit-derived
aḍī	
aḍukhuḷaṇē	Sanskrit-derived
aḍōra	Sanskrit-derived
aḍhañca	
aḍhaḷa	
aḍhaḷapada	Sanskrit-derived
aḍhāu	
aḍhaica	Sanskrit-derived
aḍhaicasēm	Sanskrit-derived
aḍhaisērī	Sanskrit-derived,Deshiya
aṇa	Sanskrit-derived
aṇagaṭa	Sanskrit-derived
aṇaṇu	Sanskrit-derived
aṇaṇē	Sanskrit-derived
aṇava	Sanskrit-derived
aṇika	Sanskrit-derived
aṇimā	Sanskrit-derived
aṇī	Sanskrit-derived
aṇuāra	Sanskrit-derived
aṇumāṇī	Sanskrit-derived
aṇusaṭa	Sanskrit-derived
aṇēkaḷita	Sanskrit-derived
aṇṇōvinna	Sanskrit-derived
anta	Sanskrit-derived
anta	Sanskrit-derived
anta:karaṇa	Sanskrit-derived
antaja	Sanskrit-derived
antapāra	Sanskrit
antara	Sanskrit
antara	Sanskrit-derived
antaraṅga	Sanskrit
antaragāmīyēm	Sanskrit-derived
antaraṇē	Sanskrit-derived
antarakṣa	Sanskrit-derived
antarāō	Sanskrit-derived
antarāya	Sanskrit
antarāḷa	Sanskrit-derived
antarākṣa	Sanskrit-derived
antaryāga	Sanskrit
antarvatti	Sanskrit-derived
atasī	Sanskrit
antāpura	Sanskrit-derived
atikāḷa	Sanskrit-derived
